Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,DocID,position
5,5,3,5,3,5,3,5,5,5,3,5,4,3,,5,5,5,5,,5,4,4,doc-03,bedside
3,5,,2,5,2,4,5,5,5,3,5,4,5,4,4,5,5,4,,5,1,5,doc-23,bedside
5,5,4,5,3,2,4,4,5,5,5,5,4,4,5,5,4,5,5,,4,5,4,doc-03,non-bedside
5,,3,5,4,4,4,5,5,5,2,5,3,4,4,4,5,5,5,,5,5,5,doc-22,bedside
4,4,4,3,5,4,4,5,5,3,5,1,4,3,4,3,4,2,5,5,5,5,5,doc-18,bedside
4,5,3,5,5,5,3,4,2,5,4,4,2,5,3,4,5,3,4,,4,3,4,doc-19,non-bedside
5,5,4,5,5,3,3,5,3,1,4,4,1,3,1,3,3,5,3,5,1,5,4,doc-04,non-bedside
4,5,5,5,5,2,4,,4,5,5,5,5,5,3,5,5,5,3,5,5,5,5,doc-18,non-bedside
2,4,5,5,4,5,4,5,5,5,,5,4,4,5,5,4,5,4,,5,3,5,doc-05,bedside
4,5,4,4,5,4,3,5,,5,5,4,5,5,3,5,3,,4,5,4,4,5,doc-19,bedside
5,4,4,5,5,,4,5,3,4,5,3,4,5,5,4,4,5,3,,3,3,5,doc-13,non-bedside
4,5,3,3,4,5,3,4,4,3,3,1,3,4,4,5,4,3,4,,5,5,3,doc-12,bedside
4,2,,4,4,4,4,5,4,5,3,2,4,5,5,4,5,5,4,,3,,4,doc-18,bedside
5,5,5,5,5,5,4,2,5,5,5,4,5,4,5,3,5,5,3,,3,4,4,doc-12,bedside
5,5,4,5,5,4,4,5,,5,5,4,3,3,4,5,2,5,3,,5,,5,doc-18,bedside
4,4,4,5,5,2,4,5,5,3,4,3,5,5,4,4,5,4,5,,2,5,4,doc-17,bedside
4,4,4,5,5,4,4,1,5,4,4,5,4,4,4,5,5,5,5,,2,5,5,doc-22,bedside
5,5,,3,4,4,4,4,3,3,5,5,5,5,5,5,4,5,5,,3,3,3,doc-05,non-bedside
5,3,4,5,5,5,3,3,5,3,5,5,3,3,4,5,4,,4,,4,,5,doc-08,bedside
3,4,3,5,4,4,4,4,4,5,4,3,5,5,4,1,5,5,5,,5,,3,doc-02,non-bedside
4,4,4,5,4,5,2,1,5,5,5,5,4,5,2,4,3,5,3,,5,4,5,doc-17,bedside
4,3,4,4,4,5,3,5,3,2,4,5,2,5,3,5,5,5,4,,,3,5,doc-13,bedside
5,5,3,5,5,2,3,5,5,5,4,5,5,4,5,3,5,4,5,,5,5,3,doc-03,non-bedside
4,4,3,5,5,4,4,3,5,5,3,1,3,3,4,4,3,5,4,4,4,4,5,doc-10,non-bedside
1,3,4,3,,5,4,3,4,3,,5,2,4,5,5,5,5,4,5,5,5,4,doc-12,bedside
4,4,,1,5,5,4,2,5,4,4,3,4,5,4,5,5,4,5,,2,5,5,doc-19,non-bedside
5,4,4,5,5,4,1,3,5,5,4,4,3,,5,4,5,,4,,4,,4,doc-17,non-bedside
4,4,3,5,5,1,4,5,5,4,5,2,5,5,2,3,2,5,4,,5,5,4,doc-18,bedside
3,5,5,5,5,5,2,5,5,3,5,5,5,4,4,5,,2,5,,3,4,4,doc-02,bedside
5,5,3,5,5,4,4,4,3,5,5,5,5,5,5,5,5,5,3,,4,3,3,doc-04,bedside
5,5,5,5,4,2,4,5,5,2,4,5,3,5,3,5,3,5,5,,4,4,4,doc-17,bedside
5,5,5,5,4,5,4,2,3,5,5,4,5,4,5,2,5,4,5,,5,4,5,doc-03,non-bedside
4,5,3,5,5,4,2,5,5,5,5,4,5,5,2,5,3,5,5,,4,5,5,doc-02,bedside
4,3,5,5,5,5,4,5,5,5,4,,3,5,5,4,,5,5,,5,4,5,doc-08,bedside
5,4,5,3,,5,5,5,,5,3,5,3,5,5,5,5,5,3,,5,5,5,doc-22,bedside
2,5,5,5,5,4,5,5,5,3,3,4,5,4,5,3,5,5,5,,5,,5,doc-06,bedside
4,3,5,5,4,4,4,3,5,4,4,4,5,3,4,5,5,3,3,,4,,5,doc-24,non-bedside
5,3,5,4,4,4,4,5,4,5,5,4,4,5,4,5,5,4,4,,4,4,3,doc-13,non-bedside
5,3,5,5,3,5,4,,3,4,5,5,4,5,5,4,5,4,4,,5,5,5,doc-25,non-bedside
5,4,4,5,4,4,4,5,4,5,5,3,5,5,3,4,5,3,5,5,5,5,5,doc-12,bedside
3,5,5,5,5,2,5,5,4,3,4,5,5,5,5,4,5,5,5,,5,3,5,doc-22,bedside
5,4,4,4,5,,4,2,4,3,2,2,4,5,4,2,3,5,4,,5,5,5,doc-04,non-bedside
5,4,4,3,4,5,3,4,4,5,3,5,5,5,3,3,5,5,3,,3,,5,doc-15,non-bedside
,5,4,4,5,4,3,5,4,3,5,5,5,5,5,4,5,4,2,5,4,3,5,doc-09,bedside
5,3,5,4,5,5,3,4,5,3,4,5,3,2,5,5,4,5,5,,5,4,5,doc-15,bedside
5,5,4,,5,3,4,4,4,2,4,4,4,4,3,5,2,,2,,4,5,4,doc-22,bedside
5,5,3,,4,5,4,4,4,4,4,5,,4,5,5,4,5,,,4,3,5,doc-20,bedside
4,4,4,3,4,5,4,5,5,5,3,4,5,4,5,3,4,4,3,,3,5,3,doc-21,bedside
5,5,2,5,3,4,4,,5,5,4,5,5,5,3,1,5,5,5,4,5,4,,doc-24,bedside
4,5,5,5,,3,4,5,5,3,4,5,4,4,4,5,5,5,5,4,4,5,5,doc-08,non-bedside
5,5,5,5,5,4,4,2,4,5,5,3,5,4,5,4,4,5,,,,4,4,doc-13,non-bedside
4,5,4,4,5,3,4,4,5,5,5,5,5,4,3,2,2,4,3,,4,4,5,doc-15,bedside
3,4,5,4,5,5,3,4,5,5,5,3,4,3,5,5,3,,4,4,3,5,4,doc-03,bedside
4,5,4,3,3,5,4,5,5,4,5,4,5,5,5,5,4,5,5,,5,,5,doc-02,bedside
4,4,4,1,5,5,3,5,4,5,2,3,2,4,5,4,,4,5,,5,5,5,doc-02,bedside
5,4,4,4,4,5,2,5,4,4,4,5,3,5,5,5,5,5,3,,5,5,,doc-07,non-bedside
2,4,4,4,,2,4,5,4,5,3,5,4,4,5,4,5,5,4,4,5,5,5,doc-03,bedside
5,4,4,3,4,5,3,4,,3,5,3,5,4,5,5,5,5,5,5,5,5,3,doc-12,bedside
5,5,5,5,5,5,3,4,4,4,4,5,5,4,5,5,5,5,5,4,3,,3,doc-23,bedside
4,5,4,4,4,5,3,4,4,3,5,5,5,5,5,5,5,4,5,,3,3,5,doc-15,bedside
5,5,5,,5,4,4,5,5,5,5,5,5,1,5,5,5,4,4,,5,,5,doc-13,bedside
5,5,3,3,3,5,4,5,5,5,4,5,5,1,3,4,3,2,3,,5,4,5,doc-20,bedside
4,5,,4,5,5,3,3,2,5,5,5,5,3,5,5,5,5,3,,5,4,4,doc-19,bedside
3,5,5,4,4,4,4,5,5,5,5,2,4,5,4,3,2,5,5,5,4,4,5,doc-16,bedside
4,5,5,5,5,3,3,5,5,5,5,2,3,3,4,4,5,5,5,,4,,5,doc-13,bedside
4,4,3,4,5,5,4,5,5,4,4,5,5,5,1,3,5,4,4,,4,4,3,doc-01,bedside
5,5,5,3,5,5,2,4,5,3,5,4,5,5,4,2,1,4,,,5,5,4,doc-16,bedside
3,3,4,5,,5,3,2,5,3,5,5,,4,5,5,5,4,1,,4,3,5,doc-03,bedside
4,4,5,4,4,5,4,4,3,,4,4,5,5,5,5,4,5,5,,4,4,4,doc-09,bedside
4,4,4,4,5,3,4,5,5,3,5,4,5,4,4,,2,5,5,5,4,4,5,doc-06,bedside
3,5,3,5,4,3,4,5,5,5,5,2,5,5,5,2,5,5,4,,4,3,4,doc-01,bedside
4,5,4,4,5,5,5,4,4,5,4,5,4,5,3,5,3,5,5,5,2,5,5,doc-08,non-bedside
4,5,5,5,,5,4,3,3,5,,5,5,4,5,5,5,5,3,5,5,4,5,doc-15,bedside
5,4,,3,4,5,4,1,5,4,5,5,3,5,5,5,5,3,5,,5,4,,doc-02,bedside
5,5,5,5,5,3,4,5,5,5,5,5,3,5,2,5,5,2,4,,4,,4,doc-15,non-bedside
5,5,4,,5,3,4,5,5,3,4,4,5,5,5,3,4,,,5,5,2,4,doc-23,non-bedside
4,5,,5,4,3,4,4,4,5,3,3,4,5,3,4,4,5,5,,5,5,2,doc-04,bedside
5,5,5,4,4,5,4,5,,3,5,4,5,5,5,5,5,5,1,5,4,5,5,doc-20,bedside
4,4,4,4,4,5,4,5,5,5,5,2,4,5,5,3,4,5,5,,5,4,4,doc-20,non-bedside
3,5,,5,5,4,2,2,3,5,4,5,5,4,1,5,,,3,4,5,5,3,doc-17,non-bedside
5,4,5,5,1,3,4,5,4,5,5,3,3,5,5,2,5,4,4,,4,5,5,doc-10,bedside
5,,5,4,4,4,2,4,5,5,4,3,4,5,3,3,4,5,4,,3,4,5,doc-10,bedside
5,4,5,5,5,5,4,5,5,5,,4,5,5,5,5,4,,4,,3,5,4,doc-16,bedside
4,2,5,5,5,5,4,5,3,4,5,3,5,5,5,5,5,,,,5,5,4,doc-06,bedside
5,2,5,5,,4,4,4,5,5,3,4,5,4,5,5,5,3,5,,5,4,5,doc-01,non-bedside
5,4,5,5,5,3,4,4,5,3,3,5,4,5,4,4,5,4,4,5,4,5,5,doc-12,bedside
3,5,2,5,,5,3,5,,5,4,2,3,4,4,4,5,5,5,,4,5,5,doc-02,non-bedside
4,4,5,4,4,5,2,3,5,4,5,5,4,4,5,4,5,5,5,,3,2,3,doc-14,bedside
5,4,5,4,3,5,3,3,3,3,5,5,5,,4,5,4,3,2,,3,5,5,doc-01,non-bedside
5,5,4,2,5,5,4,5,3,5,5,3,3,5,1,5,5,4,4,5,3,4,5,doc-20,bedside
4,5,3,5,5,5,4,4,5,5,5,4,3,5,5,2,5,5,4,,4,2,4,doc-21,non-bedside
5,5,5,3,4,5,4,5,5,1,5,5,5,5,5,5,2,5,2,4,5,3,,doc-04,bedside
4,5,5,5,5,5,3,5,4,5,1,4,3,5,5,4,3,5,,5,4,4,5,doc-09,bedside
,5,3,4,5,5,3,3,5,3,5,5,5,5,3,5,5,3,5,4,5,5,4,doc-06,bedside
5,5,3,5,4,4,4,4,2,4,5,2,3,5,3,5,4,5,3,5,5,5,5,doc-20,bedside
4,4,,5,4,4,2,5,5,5,5,5,3,5,5,4,2,2,5,5,3,5,4,doc-03,non-bedside
5,4,5,4,,3,3,4,5,4,4,5,1,4,5,3,5,5,5,,5,3,5,doc-08,non-bedside
5,2,5,4,3,4,4,4,,5,4,4,4,5,4,3,3,4,4,,,,4,doc-10,bedside
5,5,,4,,5,3,3,4,5,4,3,4,5,2,5,5,5,3,,4,3,3,doc-20,bedside
4,,3,5,5,5,4,5,5,5,4,4,5,4,3,5,5,4,4,,5,5,4,doc-12,bedside
5,4,4,4,3,5,4,4,3,5,4,2,5,5,5,5,5,,3,5,5,4,5,doc-22,bedside
4,2,5,4,5,3,1,5,5,5,5,4,3,3,5,5,,5,5,,5,5,5,doc-01,bedside
5,4,4,4,5,5,3,5,5,4,5,5,4,4,3,4,5,5,4,,5,5,5,doc-04,non-bedside
5,3,4,2,5,3,3,5,5,3,4,5,,5,2,5,5,4,4,,4,4,4,doc-20,bedside
5,4,3,5,3,4,4,5,,5,5,5,5,5,5,4,5,4,5,,5,5,,doc-03,bedside
,,5,4,2,3,3,4,4,4,5,5,5,4,5,5,5,5,4,5,5,5,5,doc-06,bedside
5,4,4,5,5,4,3,5,5,4,3,3,3,,5,1,5,4,5,5,4,4,4,doc-11,bedside
4,4,5,4,5,4,4,3,5,5,5,2,5,4,4,4,5,,4,,4,5,4,doc-12,bedside
4,5,3,5,3,2,4,4,4,3,3,4,5,4,,4,5,5,5,,2,5,,doc-17,bedside
5,4,3,5,,4,4,4,5,5,5,4,,5,5,5,3,5,5,,5,5,5,doc-01,bedside
5,4,5,5,,3,2,2,3,4,4,5,3,5,4,5,3,4,5,,5,5,5,doc-02,bedside
5,4,3,3,5,4,3,5,5,5,3,2,4,4,4,5,5,5,5,,5,4,5,doc-21,bedside
5,5,3,2,5,3,4,2,5,4,5,5,,3,5,5,5,5,5,5,5,5,4,doc-17,bedside
5,5,4,,4,5,1,5,5,5,3,5,4,5,,5,5,5,5,,3,5,4,doc-02,bedside
5,4,4,4,5,4,3,3,5,4,5,2,,5,4,4,5,5,5,,2,5,5,doc-08,bedside
3,4,5,5,4,5,2,5,5,5,5,2,5,5,4,5,5,4,4,,4,5,4,doc-14,bedside
5,4,5,4,,1,2,5,5,5,4,4,5,4,4,5,4,,5,5,4,4,4,doc-17,bedside
,5,5,5,5,2,2,5,5,5,5,3,5,5,5,3,3,4,3,,5,3,3,doc-20,bedside
5,5,3,3,5,4,4,5,5,5,5,2,2,5,5,5,3,4,3,,2,4,5,doc-15,bedside
5,4,,5,4,5,3,5,2,3,4,4,,5,4,5,4,4,3,5,4,4,2,doc-01,bedside
5,5,5,5,5,5,4,1,3,5,5,5,5,4,5,5,4,3,5,5,2,,5,doc-17,non-bedside
5,5,3,5,5,2,2,4,,1,3,5,,5,3,4,2,2,4,5,3,4,5,doc-12,bedside
5,4,1,4,5,4,4,4,4,3,4,3,5,5,1,4,4,5,5,,2,3,4,doc-04,bedside
4,4,4,4,5,5,4,5,,5,4,3,4,4,4,5,5,2,4,,5,,5,doc-03,bedside
5,5,4,5,5,2,3,5,5,5,5,2,3,5,5,4,4,3,5,,5,5,3,doc-23,bedside
5,5,4,,5,3,3,5,5,5,4,4,5,5,5,5,5,5,5,,5,5,5,doc-08,non-bedside
5,5,,5,4,5,3,1,4,3,5,5,5,5,5,5,3,5,5,,4,5,5,doc-24,bedside
5,3,3,5,4,4,2,4,5,5,1,5,5,4,4,5,3,5,5,,5,3,5,doc-25,non-bedside
3,4,5,4,2,5,2,5,5,3,5,5,2,4,4,5,5,5,4,,4,5,3,doc-24,non-bedside
5,5,4,4,,2,4,5,,5,2,5,3,5,5,4,5,4,5,5,4,3,4,doc-04,bedside
4,5,4,4,5,3,4,4,5,5,5,4,4,5,5,5,5,5,5,,4,5,5,doc-04,non-bedside
5,5,5,5,3,4,4,5,5,5,5,4,,2,3,3,5,5,5,,5,5,5,doc-21,bedside
3,5,5,5,5,5,4,5,5,3,5,5,4,5,,5,4,5,5,,4,,4,doc-14,bedside
4,5,5,4,5,5,2,4,3,5,5,4,4,5,5,3,5,5,5,,5,5,5,doc-19,bedside
4,5,4,5,,5,4,5,5,4,2,1,5,3,5,4,3,5,3,,5,3,4,doc-08,bedside
5,5,4,5,4,5,3,2,5,5,5,3,5,5,4,5,4,4,5,,5,5,4,doc-20,non-bedside
4,5,4,5,4,3,4,3,5,5,3,5,4,5,5,5,4,5,3,,,5,4,doc-08,non-bedside
5,5,5,5,5,,4,4,5,4,,4,4,5,5,3,3,4,3,,5,3,2,doc-07,bedside
3,2,5,5,5,5,4,5,5,4,3,4,3,4,3,5,4,5,4,,3,4,5,doc-07,bedside
5,5,5,4,4,5,3,5,5,4,5,5,5,4,5,4,5,,3,5,2,5,4,doc-22,bedside
3,5,4,5,4,4,4,4,3,5,5,5,2,5,5,1,5,4,3,,5,3,4,doc-07,bedside
3,4,5,4,5,5,4,5,5,5,1,5,3,5,5,4,4,3,4,,4,,4,doc-15,bedside
4,5,5,4,3,4,2,3,,5,3,5,4,5,4,5,4,3,5,,3,4,4,doc-20,non-bedside
5,3,5,4,5,4,4,5,5,5,3,3,4,5,5,5,3,,3,,4,4,4,doc-22,bedside
5,5,5,5,5,4,2,2,,3,4,4,3,5,4,5,5,4,4,,3,5,5,doc-17,bedside
4,4,4,5,3,3,3,4,3,5,5,4,,5,4,5,3,4,5,4,4,,2,doc-02,bedside
5,4,4,5,,5,2,4,4,3,5,5,5,4,3,5,5,3,4,4,3,3,5,doc-17,bedside
4,,4,3,5,3,4,2,5,5,5,3,4,5,5,4,4,3,1,,,4,3,doc-20,bedside
5,5,4,3,5,5,4,5,5,5,4,3,3,5,4,4,4,5,3,,,5,4,doc-09,non-bedside
5,5,4,5,,4,3,,,5,5,4,5,5,4,5,3,5,4,,,5,5,doc-24,bedside
3,5,5,5,3,5,2,4,3,5,4,4,3,5,5,5,4,5,5,,,4,5,doc-18,bedside
5,5,5,5,3,5,3,5,5,2,4,4,4,5,5,5,2,5,5,,5,5,5,doc-22,non-bedside
5,5,4,3,5,4,4,4,3,3,4,5,5,5,3,5,5,5,5,3,4,4,3,doc-15,bedside
4,4,5,3,5,5,4,5,3,5,4,5,4,5,5,5,3,5,5,,5,3,5,doc-04,non-bedside
5,5,3,3,5,4,3,5,5,5,5,5,2,3,5,5,5,4,5,4,2,5,4,doc-04,non-bedside
5,4,4,5,4,5,3,4,5,4,5,5,2,4,5,5,2,3,5,,4,5,3,doc-17,bedside
5,5,5,5,4,4,4,5,4,3,5,3,3,5,4,3,5,,5,,4,5,4,doc-03,non-bedside
5,4,4,4,5,4,4,5,4,5,5,,5,4,2,5,5,2,4,,4,3,4,doc-17,non-bedside
5,5,4,5,4,5,2,5,5,2,3,5,5,3,5,5,3,,5,5,4,5,5,doc-22,bedside
5,5,5,5,3,3,4,5,5,4,5,4,2,,3,4,5,,5,5,4,4,5,doc-15,non-bedside
5,5,4,4,5,,4,5,5,5,5,4,5,5,5,4,4,5,5,5,,5,4,doc-05,bedside
3,5,5,5,5,5,4,5,5,4,3,5,4,3,3,5,5,3,3,5,4,4,3,doc-16,bedside
5,4,5,5,4,3,4,5,2,4,4,4,2,5,4,3,5,4,3,,2,,3,doc-07,bedside
4,4,5,4,5,4,4,5,5,5,3,5,5,5,3,5,3,3,4,5,4,5,4,doc-24,non-bedside
4,4,5,5,5,3,4,4,4,5,4,4,2,4,3,4,5,5,5,,5,5,5,doc-17,bedside
,3,,5,1,5,2,4,3,5,2,3,3,5,4,3,5,5,4,5,5,4,4,doc-04,bedside
4,4,5,4,3,4,4,5,4,5,4,5,3,5,2,4,5,5,5,,3,,,doc-03,non-bedside
4,5,4,4,3,5,2,5,4,2,5,5,4,5,5,5,5,5,5,,5,5,4,doc-24,non-bedside
3,4,3,5,3,4,4,5,4,5,5,5,4,5,4,3,4,5,4,,5,4,5,doc-17,non-bedside
,,5,5,,5,4,,5,5,4,4,5,5,3,4,4,5,5,,3,,3,doc-09,bedside
5,5,3,5,4,5,4,5,5,2,4,1,4,4,3,3,5,5,4,5,5,3,4,doc-18,non-bedside
4,5,4,5,5,1,4,5,5,4,5,5,5,5,5,5,,5,5,5,5,4,5,doc-20,non-bedside
4,4,4,4,4,5,4,2,,2,5,4,5,5,3,5,2,5,5,,5,3,4,doc-19,bedside
4,,5,4,4,5,2,3,5,5,5,5,5,5,4,5,5,5,5,,5,5,5,doc-09,non-bedside
4,5,3,5,4,2,3,2,5,4,5,5,5,5,5,2,5,5,5,5,3,4,4,doc-17,bedside
